Source,,Cable,Colors,Target,,Notes
Kenton THRU-5,DIN OUT 1,red,white,Virus,DIN IN,
Kenton THRU-5,DIN OUT 2,ocean,blue,Sytem-1m,DIN IN,
Kenton THRU-5,DIN OUT 3,ocean,white,Blofeld,DIN IN,
Kenton THRU-5,DIN OUT 4,ocean,black,TB-3,DIN IN,
Kenton THRU-5,DIN OUT 5,blue,green,micro KORG,DIN IN,
